equipo,pj,gf,gc,dg,puntos,promedio_gf,promedio_gc
France,3,10,2,8,9,3.33,0.67
Brazil,3,7,1,6,7,2.33,0.33
Switzerland,3,7,3,4,7,2.33,1.0
Morocco,3,6,3,3,7,2.0,1.0
Argentina,2,5,0,5,6,2.5,0.0
Mexico,2,3,0,3,6,1.5,0.0
United States,3,8,4,4,6,2.67,1.33
Germany,2,9,2,7,6,4.5,1.0
Colombia,2,4,1,3,6,2.0,0.5
Norway,3,8,7,1,6,2.67,2.33
England,2,4,2,2,4,2.0,1.0
Ghana,2,1,0,1,4,0.5,0.0
Australia,3,2,2,0,4,0.67,0.67
Spain,2,4,0,4,4,2.0,0.0
Netherlands,2,7,3,4,4,3.5,1.5
Canada,3,8,3,5,4,2.67,1.0
Bosnia-Herzegovina,3,5,6,-1,4,1.67,2.0
Egypt,2,4,2,2,4,2.0,1.0
Japan,2,6,2,4,4,3.0,1.0
Paraguay,3,2,4,-2,4,0.67,1.33
Portugal,2,6,1,5,4,3.0,0.5
South Korea,2,2,2,0,3,1.0,1.0
Ivory Coast,2,2,2,0,3,1.0,1.0
Sweden,2,6,6,0,3,3.0,3.0
Algeria,2,2,4,-2,3,1.0,2.0
Croatia,2,3,4,-1,3,1.5,2.0
Senegal,3,8,6,2,3,2.67,2.0
Austria,2,3,3,0,3,1.5,1.5
Scotland,3,1,4,-3,3,0.33,1.33
Turkey,3,3,5,-2,3,1.0,1.67
Belgium,2,1,1,0,2,0.5,0.5
Iran,2,2,2,0,2,1.0,1.0
Uruguay,2,3,3,0,2,1.5,1.5
Cape Verde Islands,2,2,2,0,2,1.0,1.0
Qatar,3,2,10,-8,1,0.67,3.33
Saudi Arabia,2,1,5,-4,1,0.5,2.5
South Africa,2,1,3,-2,1,0.5,1.5
Czechia,2,2,3,-1,1,1.0,1.5
Ecuador,2,0,1,-1,1,0.0,0.5
New Zealand,2,3,5,-2,1,1.5,2.5
Curaçao,2,1,7,-6,1,0.5,3.5
Congo DR,2,1,2,-1,1,0.5,1.0
Haiti,3,2,8,-6,0,0.67,2.67
Iraq,3,1,12,-11,0,0.33,4.0
Tunisia,2,1,9,-8,0,0.5,4.5
Uzbekistan,2,1,8,-7,0,0.5,4.0
Jordan,2,2,5,-3,0,1.0,2.5
Panama,2,0,2,-2,0,0.0,1.0
